Date,Adj Close Price,Returns,Bin Label,News,PressReleases
2015-01-05,47.31142807006836,-0.050897019048167125,D5+,[],[]
2015-01-06,46.50143051147461,-0.017120547648533102,D2,[],[]
2015-01-07,46.74285888671875,0.005191848349365591,U1,[],[]
2015-01-08,47.779998779296875,0.022188199808052644,U3,[],[]
2015-01-09,47.04142761230469,-0.015457747715812209,D2,[],[]
2015-01-12,45.547142028808594,-0.03176531111707226,D4,[],[]
2015-01-13,46.255714416503906,0.015556901182672167,U2,[],"[{""date"": ""2015-01-13 11:55:00"", ""headline"": ""THE KUDELSKI GROUP AND NETFLIX ENTER INTO LONG TERM BUSINESS \n      RELATIONSHIP AND RESOLVE ALL PENDING PATENT LITIGATION"", ""description"": ""LOS GATOS, CALIF. & CHESEAUX, SWITZERLAND--(BUSINESS WIRE)--NETFLIX (NASDAQ: NFLX) AND THE KUDELSKI GROUP (SIX:KUD:S) TODAY ANNOUNCED THAT THEY HAVE ENTERED INTO A COMPREHENSIVE PRODUCT RELATIONSHIP ENABLING THE KUDELSKI GROUP TO PRE-INTEGRATE ITS NAGRA ANYCAST CONTENT PROTECTION AND OPENTV CONNECTWARE PRODUCTS WITH THE NETFLIX SERVICE FOR THE BENEFIT OF KUDELSKI\u2019S CUSTOMERS AND PROSPECTS. UNDER THE AGREEMENT, THE PARTIES WILL DISMISS ALL PENDING PATENT LITIGATION IN THE UNITED STATES AND AGREE TO A LONG TERM STAY OF THE PENDING DUTCH PATENT LITIGATION. ABOUT NETFLIX NETFLIX IS THE WORLD\u2019S LEADING INTERNET TELEVISION NETWORK WITH OVER 53 MILLION MEMBERS IN NEARLY 50 COUNTRIES ENJOYING MORE THAN TWO BILLION HOURS OF TV SHOWS AND MOVIES PER MONTH, INCLUDING ORIGINAL SERIES, DOCUMENTARIES AND FEATURE FILMS. MEMBERS CAN WATCH AS MUCH AS THEY WANT, ANYTIME, ANYWHERE, ON NEARLY ANY INTERNET-CONNECTED SCREEN. MEMBERS CAN PLAY, PAUSE AND RESUME WATCHING, ALL WITHOUT COMMERCIALS OR COMMITMENTS. ABOUT OPENTV OPENTV, INC., A KUDELSKI GROUP COMPANY, IS ONE OF THE WORLD\u2019S LEADING PROVIDERS OF ADVANCED DIGITAL TELEVISION SOLUTIONS DEDICATED TO CREATING AND DELIVERING COMPELLING VIEWING EXPERIENCES TO CONSUMERS OF DIGITAL CONTENT WORLDWIDE. THE COMPANY\u2019S SOFTWARE ENABLES ADVANCED PROGRAM GUIDES, VIDEO-ON-DEMAND, PERSONAL VIDEO RECORDING, INTERACTIVE AND ADDRESSABLE ADVERTISING AND A VARIETY OF ENHANCED TELEVISION APPLICATIONS. OPENTV IS HEADQUARTERED IN SAN FRANCISCO, CALIFORNIA. ABOUT THE KUDELSKI GROUP THE KUDELSKI GROUP IS LISTED ON THE SWISS STOCK EXCHANGE (SIX:KUD:S). IT IS A WORLD LEADER IN DIGITAL SECURITY; ITS TECHNOLOGIES ARE USED IN A WIDE RANGE OF SERVICES AND APPLICATIONS REQUIRING ACCESS CONTROL AND RIGHTS MANAGEMENT TO SECURE THE REVENUES OF CONTENT OWNERS AND SERVICE PROVIDERS FOR DIGITAL TELEVISION. THE GROUP ALSO OFFERS CYBER SECURITY SOLUTIONS AND SERVICES FOCUSED ON HELPING COMPANIES ASSESS RISKS AND VULNERABILITIES AND PROTECT THEIR DATA AND SYSTEMS. THE KUDELSKI GROUP IS ALSO A TECHNOLOGY LEADER IN THE AREA OF ACCESS CONTROL AND MANAGEMENT OF PEOPLE OR VEHICLES TO SITES AND EVENTS. THE KUDELSKI GROUP HOLDS THOUSANDS OF ISSUED AND PENDING PATENTS WORLDWIDE AND IS HEADQUARTERED IN CHESEAUX-SUR-LAUSANNE, SWITZERLAND. FOR MORE INFORMATION, PLEASE VISIT WWW.NAGRA.COM.""}]"
2015-01-14,46.31999969482422,0.0013897802494511335,U1,[],[]
2015-01-15,46.25143051147461,-0.0014803364378535022,D1,[],[]
2015-01-16,48.191429138183594,0.04194461890703427,U5,[],[]
2015-01-20,49.82857131958008,0.03397164621746662,U4,[],[]
2015-01-21,58.468570709228516,0.1733944835430865,U5+,[],[]
2015-01-22,61.20571517944336,0.04681394528740923,U5,[],[]
2015-01-23,62.494285583496094,0.0210531059113499,U3,[],[]
2015-01-26,63.79428482055664,0.020801889723560008,U3,[],[]
2015-01-27,64.88143157958984,0.017041444419216845,U2,[],[]
2015-01-28,63.20857238769531,-0.025783327389168997,D3,[],[]
2015-01-29,63.400001525878906,0.0030285312727749147,U1,[],[]
2015-01-30,63.11428451538086,-0.004506577344188578,D1,[],[]
2015-02-02,63.0099983215332,-0.0016523390013594152,D1,[],[]
2015-02-03,65.27428436279297,0.03593534520831687,U4,[],[]
2015-02-04,64.10143280029297,-0.017968049346681725,D2,[],[]
2015-02-05,64.12999725341797,0.0004456133330745793,U1,[],[]
2015-02-06,63.47999954223633,-0.010135626680492282,D2,[],[]
2015-02-09,63.29571533203125,-0.0029030279069625076,D1,[],[]
2015-02-10,64.8499984741211,0.024555898198424853,U3,[],[]
2015-02-11,64.98428344726562,0.002070701253726659,U1,[],[]
2015-02-12,65.24714660644531,0.004045026662377493,U1,[],[]
2015-02-13,66.5857162475586,0.020515374399239228,U3,[],[]
2015-02-17,67.13714599609375,0.008281502094007687,U1,[],[]
2015-02-18,67.86571502685547,0.010851951180708586,U2,[],[]
2015-02-19,67.80000305175781,-0.0009682646837457787,D1,[],[]
2015-02-20,68.31428527832031,0.007585283236195561,U1,[],[]
2015-02-23,67.40571594238281,-0.013299843981912196,D2,[],[]
2015-02-24,67.83999633789062,0.00644278292183742,U1,[],[]
2015-02-25,68.33285522460938,0.007265019359139924,U1,[],[]
2015-02-26,69.00428771972656,0.00982591014103229,U1,[],[]
2015-02-27,67.84428405761719,-0.016810602651547435,D2,[],[]
2015-03-02,68.60713958740234,0.011244212248408436,U2,[],[]
2015-03-03,67.81571197509766,-0.011535645081026114,D2,[],[]
2015-03-04,67.11000061035156,-0.010406310634993199,D2,[],[]
2015-03-05,66.80714416503906,-0.004512836277128396,D1,[],[]
2015-03-06,64.87428283691406,-0.028931955590708935,D3,[],[]
2015-03-09,63.66143035888672,-0.01869542791056833,D2,[],[]
2015-03-10,62.15142822265625,-0.023719261846897544,D3,[],[]
2015-03-11,62.88428497314453,0.011791470790708747,U2,[],[]
2015-03-12,64.04571533203125,0.018469325991107732,U2,[],[]
2015-03-13,62.628570556640625,-0.022127081695375583,D3,[],[]
2015-03-16,60.281429290771484,-0.03747716489467712,D4,[],[]
2015-03-17,59.788570404052734,-0.008175965509069294,D1,[],[]
2015-03-18,60.44571304321289,0.010991108078336254,U2,[],[]
2015-03-19,60.744285583496094,0.004939515562828234,U1,[],[]
2015-03-20,61.18571472167969,0.007267006829421385,U1,[],[]
2015-03-23,60.71428680419922,-0.0077048690143588505,D1,[],[]
2015-03-24,62.611427307128906,0.031247019487322225,U4,[],[]
2015-03-25,60.25,-0.03771559615699793,D4,[],[]
2015-03-26,59.75143051147461,-0.00827501225768279,D1,[],[]
2015-03-27,59.25285720825195,-0.008344123294703576,D1,[],[]
2015-03-30,60.36714172363281,0.01880558285087508,U2,[],[]
2015-03-31,59.52714157104492,-0.013914857132602099,D2,[],[]
2015-04-01,59.01714324951172,-0.008567492207307237,D1,[],[]
