,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
0,2024-08-01,AAPL,217.3435516357422,218.36000061035156,224.47999572753906,224.3699951171875,62501000.0,3.0,2.126394158659565,236.69162141796252,215.03637540820935,59.41505883770069,3.2523612098087105,25.9363536847355,221.62233174641926,207.83049850463868,16.200000762939453,2.0,1.0,2.0,1.0,2.0,2.0,0.0
1,2024-08-02,AAPL,218.83657836914062,219.86000061035156,225.60000610351562,219.14999389648438,105568600.0,4.0,1.6957470387458784,236.82607260620534,214.65192421996653,55.54025742945482,-9.56103713616914,27.69911055993531,221.79633178710938,208.42549845377604,20.520000457763672,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-08-05,AAPL,208.29586791992188,209.27000427246094,213.5,199.08999633789062,119548600.0,0.0,-0.2612070289802375,240.58078586649845,208.09721095967342,44.10545318327545,-164.97108066718266,6.539178921556012,221.41966501871744,208.6961649576823,23.389999389648438,2.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0
3,2024-08-06,AAPL,206.26536560058594,207.22999572753906,209.99000549316406,205.3000030517578,69660500.0,1.0,-1.296071281175358,241.42843348844409,204.98656437532546,47.562813764459,-159.93111861948876,1.4925136442902347,221.33899841308593,209.07516504923504,33.709999084472656,2.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0
4,2024-08-07,AAPL,208.84332275390625,209.82000732421875,213.63999938964844,206.89999389648438,63516400.0,2.0,-1.964457721564571,241.4496414615653,202.7253554866769,48.41328917123432,-131.84574860881585,4.930123714125072,221.26399841308594,209.44183171590169,24.770000457763672,1.0,1.0,1.0,1.0,0.0,1.0,0.0
5,2024-08-08,AAPL,212.31704711914062,213.30999755859375,214.1999969482422,213.11000061035156,47161100.0,3.0,-1.970350178067406,240.4121153303127,201.9348817399998,51.56727074592696,-94.9709878513901,9.340217335937316,221.31766510009766,209.9029983520508,28.34000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-08-09,AAPL,215.23342895507812,216.24000549316406,216.77999877929688,212.10000610351562,42201600.0,4.0,-2.0330820043278663,239.61578970031053,201.049208163459,51.04222025382634,-78.79249764380289,12.851242340601981,221.23133188883463,210.3128318786621,23.780000686645508,2.0,-1.0,-2.0,-1.0,0.0,-2.0,-1.0
7,2024-08-12,AAPL,216.76803588867188,217.52999877929688,219.50999450683594,216.07000732421875,38028100.0,0.0,-1.7423665912925799,237.09942256221285,201.52457646122463,52.98858888263163,-52.11355166007342,14.361770545704719,221.2413319905599,210.78216527303059,20.790000915527344,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,2024-08-13,AAPL,220.49493408203125,221.27000427246094,221.88999938964844,219.00999450683594,44155300.0,1.0,-1.2602131837052184,234.6960374820995,202.3289609920216,54.378077576096246,-21.010356709571777,18.59365629854067,221.4719985961914,211.2578318277995,20.059999465942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-08-14,AAPL,220.943359375,221.72000122070312,223.02999877929688,220.57000732421875,41960600.0,2.0,-0.7436507942235835,233.45625699247285,202.68074251924588,55.10643047667741,-10.219893318894389,19.09130404482057,221.61933237711588,211.7754987080892,18.40999984741211,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0
10,2024-08-15,AAPL,223.93284606933594,224.72000122070312,225.35000610351562,224.60000610351562,46414000.0,3.0,-0.008980634381259733,232.41429198015533,203.1547082639853,56.94342457771713,24.346157048298238,22.36440659360134,221.77266591389974,212.36333211263022,16.270000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024-08-16,AAPL,225.25819396972656,226.0500030517578,226.8300018310547,223.9199981689453,44340200.0,4.0,0.5124723409070384,232.28345713970532,203.19554218890795,56.53958529208855,32.08865614571593,23.77855768908287,221.84833272298178,212.91049880981444,15.289999961853027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-08-19,AAPL,225.0987548828125,225.88999938964844,225.99000549316406,225.72000122070312,40687800.0,0.0,1.058767965664515,232.05638377649052,203.2936162235095,57.367505056084255,36.19467649928149,22.32279447124748,221.80266621907552,213.46799875895184,15.9399995803833,2.0,1.0,1.0,1.0,1.0,1.0,0.0
13,2024-08-20,AAPL,225.71656799316406,226.50999450683594,227.1699981689453,225.77000427246094,30299000.0,1.0,1.4787004739119993,232.27644063757342,203.21356027795392,57.39083125484436,44.81262337876136,23.014132529128716,221.7306666056315,214.0478322347005,14.890000343322754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-08-21,AAPL,225.60696411132812,226.39999389648438,227.97999572753906,226.52000427246094,34765500.0,2.0,1.8506851971951903,232.67200512997536,203.0699962127981,57.749524201004,54.03279938603787,23.014132529128712,221.63799997965495,214.67616551717123,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024-08-22,AAPL,223.74351501464844,224.52999877929688,228.33999633789062,227.7899932861328,43695300.0,3.0,2.2223454550211557,233.76457522063987,202.8634261831687,58.36350653989469,55.72189987987969,23.014132529128716,221.51799977620442,215.28083216349285,16.270000457763672,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,2024-08-23,AAPL,226.04541015625,226.83999633789062,228.22000122070312,225.66000366210938,38677300.0,4.0,2.3182926903755856,234.4588287222714,202.86517335292393,56.92817471371368,58.73903574909687,25.74024280053118,221.40933329264323,215.8816655476888,17.1200008392334,2.0,1.0,2.0,1.0,1.0,1.0,0.0
